Car_Number,Arrive,Depart,Wait,Direction
421,7078,7080,2,E
420,7047,7080,33,W
423,7107,7108,1,W
425,7152,7200,48,E
426,7167,7200,33,W
428,7226,7226,0,E
429,7227,7228,1,W
432,7308,7320,12,E
430,7294,7320,26,W
434,7361,7362,1,W
435,7390,7440,50,E
437,7428,7440,12,W
438,7472,7472,0,E
440,7495,7496,1,W
442,7554,7560,6,E
443,7562,7562,0,W
445,7636,7680,44,E
444,7629,7680,51,W
448,7696,7696,0,W
449,7718,7718,0,E
452,7800,7800,0,E
450,7763,7800,37,W
453,7830,7830,0,W
456,7882,7920,38,E
457,7897,7920,23,W
458,7964,7964,0,E
459,7964,7964,0,W
462,8031,8040,9,W
463,8046,8046,0,E
464,8098,8098,0,W
466,8128,8160,32,E
467,8165,8166,1,W
469,8210,8210,0,E
471,8232,8280,48,W
472,8292,8292,0,E
473,8299,8300,1,W
477,8374,8400,26,E
476,8366,8400,34,W
478,8433,8434,1,W
480,8456,8456,0,E
481,8500,8520,20,W
483,8538,8538,0,E
485,8567,8568,1,W
486,8620,8640,20,E
487,8634,8640,6,W
490,8702,8760,58,E
489,8701,8760,59,W
492,8768,8768,0,W
494,8784,8784,0,E
496,8866,8880,14,E
495,8835,8880,45,W
499,8902,8902,0,W
500,8948,9000,52,E
501,8969,9000,31,W
503,9030,9030,0,E
504,9036,9036,0,W
507,9112,9120,8,E
506,9103,9120,17,W
509,9170,9170,0,W
510,9194,9240,46,E
513,9237,9240,3,W
514,9276,9276,0,E
517,9358,9360,2,E
515,9304,9360,56,W
518,9371,9372,1,W
521,9440,9480,40,E
520,9438,9480,42,W
523,9505,9506,1,W
524,9522,9522,0,E
525,9572,9600,28,W
528,9604,9604,0,E
529,9639,9640,1,W
531,9686,9720,34,E
532,9706,9720,14,W
534,9768,9768,0,E
535,9773,9774,1,W
537,9840,9840,0,W
538,9850,9850,0,E
542,9932,9960,28,E
539,9907,9960,53,W
543,9974,9974,0,W
544,10014,10014,0,E
546,10041,10080,39,W
547,10096,10096,0,E
549,10108,10108,0,W
552,10178,10200,22,E
551,10175,10200,25,W
553,10242,10242,0,W
555,10260,10320,60,E
557,10309,10320,11,W
558,10342,10342,0,E
560,10376,10376,0,W
561,10424,10440,16,E
562,10443,10444,1,W
565,10506,10560,54,E
566,10510,10560,50,W
567,10577,10578,1,W
568,10588,10588,0,E
572,10670,10680,10,E
571,10644,10680,36,W
574,10711,10712,1,W
575,10752,10800,48,E
576,10778,10800,22,W
579,10834,10834,0,E
580,10845,10846,1,W
582,10902,10920,18,E
581,10900,10920,20,W
585,10955,10956,1,W
586,10970,10970,0,E
589,11038,11040,2,E
588,11010,11040,30,W
590,11065,11066,1,W
593,11106,11160,54,E
